id,category en,name mr,name en,category_mr,,,,,,,,,,,,,,,,,,,,,,,
232,Flour,???? ???,Chickpea Flour,????,,,,,,,,,,,,,,,,,,,,,,,
233,Flour,????,Maida,????,,,,,,,,,,,,,,,,,,,,,,,
234,Flour,?????? ???,Anarsa Flour,????,,,,,,,,,,,,,,,,,,,,,,,
235,Flour,???,Semolina,????,,,,,,,,,,,,,,,,,,,,,,,
236,Flour,???? ???,Chakli Flour,????,,,,,,,,,,,,,,,,,,,,,,,
237,Flour,???????(???) ???,Barnyard Millet,????,,,,,,,,,,,,,,,,,,,,,,,
238,Flour,???? ???,Saatha Flour,????,,,,,,,,,,,,,,,,,,,,,,,
239,Flour,?????? ???,Split Black Gram Flour,????,,,,,,,,,,,,,,,,,,,,,,,
240,Flour,???????????,Cornflour,????,,,,,,,,,,,,,,,,,,,,,,,
241,Fruits,?????? ,Apple,???,,,,,,,,,,,,,,,,,,,,,,,
242,Fruits,????,Banana,???,,,,,,,,,,,,,,,,,,,,,,,
243,Fruits,????,Chikoo,???,,,,,,,,,,,,,,,,,,,,,,,
244,Fruits,??????,Custardapple,???,,,,,,,,,,,,,,,,,,,,,,,
245,Fruits,????,Dates,???,,,,,,,,,,,,,,,,,,,,,,,
246,Fruits,?????,Fig,???,,,,,,,,,,,,,,,,,,,,,,,
247,Fruits,???????,Grapes,???,,,,,,,,,,,,,,,,,,,,,,,
248,Fruits,????,Guava,???,,,,,,,,,,,,,,,,,,,,,,,
249,Fruits,?????,Musk Melons,???,,,,,,,,,,,,,,,,,,,,,,,
250,Fruits,??????,Watermelon,???,,,,,,,,,,,,,,,,,,,,,,,
251,Fruits,????,Mangoes,???,,,,,,,,,,,,,,,,,,,,,,,
252,Fruits,??????,pomegranate,???,,,,,,,,,,,,,,,,,,,,,,,
253,Fruits,???,Papaya,???,,,,,,,,,,,,,,,,,,,,,,,
254,Fruits,????,Pineapple,???,,,,,,,,,,,,,,,,,,,,,,,
255,Fruits,??????,Sweet Lemon,???,,,,,,,,,,,,,,,,,,,,,,,
256,Fruits,??????,Orange,???,,,,,,,,,,,,,,,,,,,,,,,
257,Fruits,????????,Strawberry,???,,,,,,,,,,,,,,,,,,,,,,,
258,Fruits,???? ????,Wild Bananas,???,,,,,,,,,,,,,,,,,,,,,,,
259,Leafy Vegetables,????,Spinach,??????????,,,,,,,,,,,,,,,,,,,,,,,
260,Leafy Vegetables,????,Fenugreek,??????????,,,,,,,,,,,,,,,,,,,,,,,
261,Leafy Vegetables,????,Dill,??????????,,,,,,,,,,,,,,,,,,,,,,,
262,Leafy Vegetables,??????,Mint,??????????,,,,,,,,,,,,,,,,,,,,,,,
263,Leafy Vegetables,????????,Green Sorrel,??????????,,,,,,,,,,,,,,,,,,,,,,,
264,Leafy Vegetables,????????,Curry Leaves,??????????,,,,,,,,,,,,,,,,,,,,,,,
265,Leafy Vegetables,????????,coriander,??????????,,,,,,,,,,,,,,,,,,,,,,,
266,Leafy Vegetables,????????????,Shallots,??????????,,,,,,,,,,,,,,,,,,,,,,,
267,Leafy Vegetables,???????,Amarnath,??????????,,,,,,,,,,,,,,,,,,,,,,,
268,Leafy Vegetables,????,Safflower,??????????,,,,,,,,,,,,,,,,,,,,,,,
269,Leafy Vegetables,????????,Purple Amarnath,??????????,,,,,,,,,,,,,,,,,,,,,,,
270,Leafy Vegetables,?????,Round Gourd,??????????,,,,,,,,,,,,,,,,,,,,,,,
271,Vegetables,?????,Cucumber,????????,,,,,,,,,,,,,,,,,,,,,,,
272,Vegetables,????????? ????,Drumstick,????????,,,,,,,,,,,,,,,,,,,,,,,
273,Vegetables,???,BroadBeans,????????,,,,,,,,,,,,,,,,,,,,,,,
274,Vegetables,?????,okra,????????,,,,,,,,,,,,,,,,,,,,,,,
275,Vegetables,?????,Brinjal,????????,,,,,,,,,,,,,,,,,,,,,,,
276,Vegetables,?????,Lemon,????????,,,,,,,,,,,,,,,,,,,,,,,
277,Vegetables,?????,Mushroom,????????,,,,,,,,,,,,,,,,,,,,,,,
278,Vegetables,?????,Potato,????????,,,,,,,,,,,,,,,,,,,,,,,
279,Vegetables,?????,Pumpkin,????????,,,,,,,,,,,,,,,,,,,,,,,
280,Vegetables,????,Raddish,????????,,,,,,,,,,,,,,,,,,,,,,,
281,Vegetables,?????,Bonavista Bean,????????,,,,,,,,,,,,,,,,,,,,,,,
282,Vegetables,?????,Ridge Gourd,????????,,,,,,,,,,,,,,,,,,,,,,,
283,Vegetables,??????,Tomato,????????,,,,,,,,,,,,,,,,,,,,,,,
284,Vegetables,?????,Onion,????????,,,,,,,,,,,,,,,,,,,,,,,
285,Vegetables,?????,Sweet Potato,????????,,,,,,,,,,,,,,,,,,,,,,,
286,Vegetables,?????,Bitter Gourd,????????,,,,,,,,,,,,,,,,,,,,,,,
287,Vegetables,????? ????,Raw Mango,????????,,,,,,,,,,,,,,,,,,,,,,,
288,Vegetables,????,Coconut,????????,,,,,,,,,,,,,,,,,,,,,,,
289,Vegetables,?????,Ginger,????????,,,,,,,,,,,,,,,,,,,,,,,
290,Vegetables,????? ?????,Green Chilli,????????,,,,,,,,,,,,,,,,,,,,,,,
291,Vegetables,????,Garlic,????????,,,,,,,,,,,,,,,,,,,,,,,
